local_topics_sim:analytic,local_topics_sim:innovation,local_topics_sim:technology,global_topics_sim:analytic,global_topics_sim:innovation,global_topics_sim:technology,company,link,tic,edit_sim:analytic,edit_sim:innovation,edit_sim:technology,haskey:analytic,haskey:innovation,haskey:technology,sic,ni
0.5,0.5,0.5,-2.661853313446045,-1.3257968425750732,-2.3019962310791016,instacart,https://www.prnewswire.com/news/instacart/,,0.2727272727272727,0.4,0.4,0.0,0.0,0.0,3577.0,-8.69
0.5,0.5,0.5,-2.013092041015625,-1.70430588722229,-1.3424129486083984,international brotherhood of teamsters,https://www.prnewswire.com/news/international-brotherhood-of-teamsters/,,0.375,0.5384615384615384,0.3,0.0,0.0,0.0,3577.0,-8.69
1.0,1.0,1.0,1.0,0.9999998211860657,0.9999998211860657,iqiyi,https://www.prnewswire.com/news/iqiyi/,,0.4444444444444444,1.0,1.0,0.0,1.0,1.0,3577.0,-8.69
1.0,1.0,1.0,1.0,0.9999998211860657,0.9999998211860657,jack henry  associates inc.,https://www.prnewswire.com/news/jack-henry-%26-associates%2C-inc./,JKHY,0.625,1.0,1.0,0.0,1.0,1.0,7373.0,311.469
0.9999999403953552,1.0,1.0,1.0,0.9999998211860657,0.9999998211860657,jazz pharmaceuticals plc,https://www.prnewswire.com/news/jazz-pharmaceuticals-plc/,JAZZ,0.75,0.8,1.0,0.0,0.0,1.0,2834.0,-329.668
1.0,0.9999999403953552,1.0,1.0,0.9999998211860657,0.9999998211860657,kessler topaz meltzer  check llp,https://www.prnewswire.com/news/kessler-topaz-meltzer-%26-check%2C-llp/,,0.375,0.9090909090909091,1.0,0.0,1.0,1.0,3577.0,-8.69
1.0,0.9999999403953552,1.0,1.0,0.9999998211860657,0.9999998211860657,lantern pharma,https://www.prnewswire.com/news/lantern-pharma/,LTRN,0.5,0.5454545454545454,0.6,0.0,0.0,0.0,2836.0,-12.363
0.5,0.5,1.0,-2.160017490386963,-1.3257968425750732,0.9999998211860657,law offices of howard g. smith,https://www.prnewswire.com/news/law-offices-of-howard-g.-smith/,,0.5,0.6,1.0,0.0,0.0,1.0,3577.0,-8.69
0.5,0.5,0.5,-2.1643717288970947,-1.3257968425750732,-1.3424129486083984,lendingtree.com,https://www.prnewswire.com/news/lendingtree.com/,ACOM,0.375,0.7,0.4,0.0,0.0,0.0,7370.0,62.895
0.5,0.9999999403953552,0.9999999403953552,-2.235215425491333,0.9999998211860657,0.9999998211860657,liqtech international inc.,https://www.prnewswire.com/news/liqtech-international%2C-inc./,LIQT,0.625,0.5384615384615384,1.0,0.0,0.0,1.0,3590.0,-11.127
0.5,0.5,0.5,-2.235215425491333,-1.3257968425750732,-1.3424129486083984,lubys inc.,https://www.prnewswire.com/news/luby%27s%2C-inc./,LUB,0.375,0.6,0.4,0.0,0.0,0.0,5812.0,-29.45
0.5,0.5,0.5,-2.160017490386963,-1.9330048561096191,-2.230236768722534,lumen black lotus labs,https://www.prnewswire.com/news/lumen-black-lotus-labs/,,0.5,0.4,0.4,0.0,0.0,0.0,3577.0,-8.69
0.5,1.0,1.0,-2.160017490386963,0.9999998211860657,0.9999998211860657,luokung technology corp.,https://www.prnewswire.com/news/luokung-technology-corp./,ADTK,0.375,0.7272727272727273,1.0,0.0,0.0,1.0,,
